tree_n_15_t_1_r_3,7,2,5,10,1,0,1,1,2.18,3.49,2.42,3.87
tree_n_31_t_1_r_3,47,18,25,41,3,1,1,4,4.43,6.10,6.04,5.94
tree_n_63_t_1_r_3,129,50,61,106,8,2,2,7,13.11,14.63,15.97,14.73
tree_n_15_t_2_r_3,40,16,22,35,3,1,1,2,4.97,6.15,6.01,5.95
tree_n_31_t_2_r_3,116,48,63,102,7,2,2,6,14.01,15.53,14.82,15.83
tree_n_15_t_3_r_3,81,30,41,67,4,1,2,4,10.21,11.40,12.83,11.27
tree_n_15_t_4_r_3,108,38,49,89,6,2,2,6,16.42,20.75,19.18,18.94
K4N4,65,27,37,59,3,1,2,3,6.51,7.14,6.38,7.03
K4N5,91,35,46,77,5,1,2,4,10.38,11.05,11.37,10.68
K4N6,115,50,64,101,5,2,2,5,10.36,10.86,11.93,10.65
K4N7,131,60,68,116,4,2,2,5,13.25,14.61,15.46,14.87
K4N8,143,55,65,122,5,2,3,5,17.96,17.71,18.59,17.75
K5N4,91,35,45,76,4,1,1,4,7.05,7.81,9.12,7.88
K6N4,127,54,67,106,6,1,2,5,9.19,9.98,10.88,10.00
K7N4,155,67,76,124,5,2,2,5,10.01,11.51,11.81,12.76
K8N4,181,70,84,151,5,2,3,5,17.10,17.92,18.47,17.38
